accion objeto llantas gas
frenar si si poco
pits si si mucho
esquivar si no mucho
frenar si no poco
frenar si si mucho
esquivar si no mucho
pits no si mucho 
avanzar no no mucho 
frenar si no poco
frenar no si poco
frenar no si poco
pits no si mucho
frenar si no poco
avanzar no no mucho
esquivar si no mucho
pits si si mucho
pits no si mucho
frenar si no mucho
avanzar no no mucho
frenar no si poco
avanzar no no mucho
frenar si no mucho
pits no no mucho
frenar si si poco
avanzar no no mucho
esquivar si no mucho
pits no si mucho
avanzar si no mucho
frenar si no poco
frenar no no poco
pits no si mucho
